"","Kw","AnzahlFall","AnzahlTodesfall"
"1",9,3,0
"2",10,9,0
"3",11,35,0
"4",12,143,0
"5",13,254,0
"6",14,270,0
"7",15,237,1
"8",16,158,0
"9",17,186,0
"10",18,133,0
"11",19,138,0
"12",20,116,0
"13",21,122,0
"14",22,87,0
"15",23,107,0
"16",24,110,0
"17",25,159,0
"18",26,135,0
"19",27,143,0
"20",28,147,0
"21",29,140,0
"22",30,161,0
"23",31,150,0
"24",32,188,0
"25",33,275,0
"26",34,283,0
"27",35,223,0
"28",36,226,0
"29",37,226,0
"30",38,291,0
"31",39,299,0
"32",40,327,0
"33",41,522,0
"34",42,887,0
"35",43,1458,0
"36",44,2226,0
"37",45,2414,0
"38",46,2412,0
"39",47,2378,0
"40",48,2319,1
"41",49,2303,0
"42",50,2658,0
"43",51,3096,0
"44",52,2108,0
"45",53,1524,1
"46",54,1901,1
"47",55,1857,0
"48",56,1697,0
"49",57,1528,0
"50",58,1512,0
"51",59,1349,1
"52",60,1376,0
"53",61,1884,0
"54",62,2370,0
"55",63,2991,0
"56",64,4051,1
"57",65,5021,0
"58",66,4468,0
"59",67,4026,0
"60",68,5085,0
"61",69,5577,1
"62",70,5062,1
"63",71,4116,0
"64",72,2967,0
"65",73,2300,1
"66",74,1415,0
"67",75,1025,0
"68",76,614,0
"69",77,381,1
"70",78,258,0
"71",79,173,0
"72",80,179,0
"73",81,258,0
"74",82,346,0
"75",83,523,0
"76",84,756,0
"77",85,889,0
