"","Kw","AnzahlFall","AnzahlTodesfall"
"1",9,15,0
"2",10,123,5
"3",11,924,30
"4",12,3672,196
"5",13,6899,576
"6",14,7667,728
"7",15,5258,538
"8",16,3229,362
"9",17,2185,199
"10",18,1295,130
"11",19,1023,86
"12",20,688,50
"13",21,497,24
"14",22,437,22
"15",23,271,15
"16",24,228,10
"17",25,312,14
"18",26,270,10
"19",27,250,10
"20",28,252,9
"21",29,287,12
"22",30,357,16
"23",31,397,11
"24",32,471,6
"25",33,453,9
"26",34,523,15
"27",35,533,7
"28",36,556,17
"29",37,861,20
"30",38,1219,34
"31",39,1347,37
"32",40,1791,39
"33",41,3049,79
"34",42,5241,123
"35",43,9653,307
"36",44,15069,486
"37",45,17360,544
"38",46,17530,670
"39",47,18184,869
"40",48,17825,924
"41",49,19214,1124
"42",50,23979,1427
"43",51,28484,1593
"44",52,24317,1513
"45",53,22006,1421
"46",54,25065,1454
"47",55,19946,1230
"48",56,16327,1076
"49",57,13542,860
"50",58,11011,615
"51",59,8380,503
"52",60,8602,500
"53",61,8851,413
"54",62,8334,375
"55",63,9658,386
"56",64,12767,518
"57",65,15528,637
"58",66,15452,701
"59",67,16674,707
"60",68,18826,721
"61",69,18244,726
"62",70,15767,589
"63",71,12790,447
"64",72,8790,282
"65",73,6132,183
"66",74,3106,116
"67",75,2036,49
"68",76,1249,23
"69",77,588,16
"70",78,376,13
"71",79,345,9
"72",80,367,7
"73",81,468,5
"74",82,617,10
"75",83,907,12
"76",84,1051,5
"77",85,1192,2
