"","Kw","AnzahlFall","AnzahlTodesfall"
"1",9,2,0
"2",10,29,0
"3",11,158,0
"4",12,423,0
"5",13,628,0
"6",14,721,0
"7",15,540,0
"8",16,397,0
"9",17,342,0
"10",18,256,0
"11",19,231,0
"12",20,229,0
"13",21,186,0
"14",22,232,0
"15",23,203,0
"16",24,242,0
"17",25,369,0
"18",26,284,0
"19",27,227,0
"20",28,218,0
"21",29,283,0
"22",30,342,0
"23",31,450,0
"24",32,649,0
"25",33,956,0
"26",34,957,0
"27",35,835,0
"28",36,752,0
"29",37,823,0
"30",38,873,0
"31",39,974,0
"32",40,1145,0
"33",41,1764,0
"34",42,2625,0
"35",43,4590,1
"36",44,6873,1
"37",45,8150,1
"38",46,8960,0
"39",47,9219,0
"40",48,9004,1
"41",49,8841,0
"42",50,9949,0
"43",51,9591,0
"44",52,6408,0
"45",53,4597,0
"46",54,5721,0
"47",55,4910,0
"48",56,4130,0
"49",57,3523,0
"50",58,3325,0
"51",59,2800,1
"52",60,3123,0
"53",61,3882,0
"54",62,5031,0
"55",63,6545,0
"56",64,8942,0
"57",65,12435,0
"58",66,10039,0
"59",67,9875,0
"60",68,14650,0
"61",69,17142,1
"62",70,14047,0
"63",71,11696,0
"64",72,8683,0
"65",73,7175,0
"66",74,4041,0
"67",75,3108,0
"68",76,2460,0
"69",77,1229,0
"70",78,793,0
"71",79,549,0
"72",80,503,0
"73",81,853,0
"74",82,1252,0
"75",83,1716,0
"76",84,2631,0
"77",85,3147,0
