"","Kw","AnzahlFall","AnzahlTodesfall"
"1",9,61,0
"2",10,258,0
"3",11,1588,0
"4",12,6027,2
"5",13,8529,2
"6",14,8222,4
"7",15,6263,2
"8",16,4295,3
"9",17,3255,5
"10",18,2103,1
"11",19,1775,0
"12",20,1387,0
"13",21,1125,1
"14",22,1031,0
"15",23,817,0
"16",24,828,0
"17",25,1449,0
"18",26,1064,0
"19",27,968,1
"20",28,875,1
"21",29,1100,0
"22",30,1415,0
"23",31,1820,0
"24",32,2409,0
"25",33,3446,0
"26",34,4568,1
"27",35,4240,0
"28",36,4117,0
"29",37,4280,0
"30",38,5241,0
"31",39,5371,1
"32",40,6334,1
"33",41,9903,0
"34",42,15680,0
"35",43,26469,0
"36",44,37519,5
"37",45,41778,5
"38",46,40906,5
"39",47,38417,3
"40",48,34766,3
"41",49,35514,5
"42",50,41906,2
"43",51,45703,6
"44",52,34422,6
"45",53,31164,3
"46",54,39653,5
"47",55,31511,3
"48",56,24049,6
"49",57,19815,4
"50",58,16695,6
"51",59,13593,1
"52",60,14589,2
"53",61,15950,6
"54",62,16774,6
"55",63,21016,5
"56",64,27353,7
"57",65,34015,7
"58",66,33007,7
"59",67,36694,10
"60",68,45257,12
"61",69,44253,14
"62",70,37972,8
"63",71,30617,3
"64",72,21584,5
"65",73,16573,4
"66",74,9850,2
"67",75,6821,0
"68",76,4722,0
"69",77,2555,0
"70",78,1758,0
"71",79,1885,0
"72",80,2832,0
"73",81,4972,0
"74",82,6736,0
"75",83,7616,0
"76",84,9572,0
"77",85,10494,0
